,Date,Close,roi_from_high,roi_from_low,roi_from_high_10th_pct,roi_from_low_90th_pct
0,2021-02-03,381.8500061035156,-0.006607894191125063,0.03183181167388249,-0.006607894191125063,0.03183181167388249
1,2021-02-04,386.19000244140625,0.0,0.04355931255748802,-0.00627749948156881,0.04297293751330774
2,2021-02-05,387.7099914550781,0.0,0.04766661383451409,-0.005947104772012557,0.04725588370681148
3,2021-02-08,390.510009765625,0.0,0.055232799299778756,-0.005616710062456304,0.054097871479989054
4,2021-02-09,390.25,-0.0006658210010571652,0.054530203141000655,-0.005419479553111483,0.055092280068023136
5,2021-02-10,390.0799865722656,-0.0011011835359033828,0.054070794314644566,-0.005231216527319643,0.05505715026008423
6,2021-02-11,390.7099914550781,0.0,0.055773188105937566,-0.004955880994558559,0.055611071464089924
7,2021-02-12,392.6400146484375,0.0,0.06098848022678349,-0.004680545461797475,0.05916312798448742
8,2021-02-16,392.29998779296875,-0.0008660015352057737,0.060069662574071536,-0.004405209929036391,0.06062095316569871
9,2021-02-17,392.3900146484375,-0.000636715542667865,0.06031293237083157,-0.004129874396275306,0.06068448369160513
10,2021-02-18,390.7200012207031,-0.004890009566277942,0.05580023640876375,-0.005748951878701503,0.06065070629880753
11,2021-02-19,390.0299987792969,-0.006647350681966535,0.05393571772918948,-0.006625649612003725,0.060616928906009934
12,2021-02-22,387.0299987792969,-0.014287937193980915,0.04582914345776601,-0.009703585286772287,0.06058315151321234
13,2021-02-23,387.5,-0.013090908864802686,0.0470991767255291,-0.013509868780015066,0.060549374120414744
14,2021-02-24,391.7699890136719,-0.0022158353766990047,0.05863750441802695,-0.013450017363556156,0.060515596727617145
15,2021-02-25,382.3299865722656,-0.026258220485762984,0.03312881078013419,-0.017280508016926432,0.06048181933481955
16,2021-02-26,380.3599853515625,-0.0312755420709484,0.027805490376659137,-0.027261684802800067,0.060448041942021954
17,2021-03-01,389.5799865722656,-0.007793469748394788,0.05271969860274073,-0.027010818723540796,0.06041426454922436
18,2021-03-02,386.5400085449219,-0.01553587478590901,0.027403442727933713,-0.026759952644281527,0.060380487156426764
19,2021-03-03,381.4200134277344,-0.028575796663896535,0.0027869074481956524,-0.02871078393424913,0.06034670976362917
20,2021-03-04,376.70001220703125,-0.04059698921842858,0.0,-0.0312755420709484,0.06031293237083157
21,2021-03-05,383.6300048828125,-0.022947253029450887,0.018396582031360742,-0.03114055480059581,0.060300768880993574
22,2021-03-08,381.7200012207031,-0.027811769102321193,0.013326224717276958,-0.031005567530243215,0.06028860539115557
23,2021-03-09,387.1700134277344,-0.01393133918253564,0.027794002870774825,-0.030870580259890625,0.06027644190131757
24,2021-03-10,389.5799865722656,-0.007793469748394788,0.034191595295610666,-0.03073559298953803,0.06026427841147956
25,2021-03-11,393.5299987792969,0.0,0.04467742507801131,-0.030600605719185436,0.060252114921641564
